id_libro,isbn,titulo,autor,categoria,anio_publicacion,idioma,editorial,unidades,leido,notas
49,"",Colección Norberto Castro - Tomo 6,Academia Costarricense de Ciencias Genealogicas,Genealogía,1988,Español,ACCG,1,t,
50,"",Colección Norberto Castro - Tomo 7,Academia Costarricense de Ciencias Genealogicas,Genealogía,1992,Español,ACCG,1,t,
51,9788466330343,"Come, Reza, Ama",Elizabeth Gilbert,Novela Romántica y Erótica,2016,Español,Penguin Random House Grupo Editorial,1,t,
52,9789968311472,Comercio Internacional,Rodolfo Tacsan Chen,Economía,2007,Español,EUNED,1,t,
53,9789968590013,Comunicacion Escrita,Ethel Pazos Jimenez,Administración y Negocios,2009,Español,Editorial Secade,1,t,
54,9788491040255,Confesiones de una Máscara,Mishima,LGTBIQ,2017,Español,Alianza Editorial,1,f,
55,"",Costa Rica - Su evolución geológica esta en el fondo del mar,Victor Cortes,Historia,,Español,Editorial Guayacan,1,f,
56,9789968313506,Costa Rica y sus Hechos Políticos de 1948,Oscar Aguilar Bulgarelli,Historia,2004,Español,EUNED,1,t,
57,"",Crónicas Coloniales,Ricardo Fernandez Guardia,Historia,1967,Español,Editorial Costa Rica,1,f,
58,9788497643702,Cuaderno de Notas,Leonardo da Vinci,Literatura Clásica,2010,Español,EDIMAT Libros,1,f,
59,9788419939531,Cuando Haru estuvo aquí,Dustin Thao,LGTBIQ,2024,Español,Ediciones Kiwi S.L,1,f,
60,0009707800814,Cuentos Chinos,Andres Oppenheimer,Relaciones Internacionales,2011,Español,Random House Mondadori,1,t,
61,9788410206809,Cuentos Imprescindibles del Siglo XX de América Latina,"Daniel Centeno Maldonado, Carlos Sandoval",Literatura Latinoamericana,2025,Español,Editorial Alma,2,f,
62,9788497643665,De la Tierra a la Luna,Julio Verne,Ciencia Ficción,2009,Español,EDIMAT Libros,1,t,
63,,De nuestra historia patria los primeros dias de independencia,Rafael Obregon Loria,Historia,1971,Español,Editorial UCR,1,f,
64,9788417854317,De Sangre y Cenizas,Jennifer L. Armentrout,Fantasía Épica,2024,Español,Urano World Spain,1,f,
65,"",Democracia y Participación Política,Ruben Hernandez Valle,Relaciones Internacionales,1991,Español,Editorial Juricentro,1,t,
66,9786071125255,Días de Sangre y Resplandor,Laini Taylor,Fantasía Épica,2012,Español,Alfaguardia,1,f,
67,9788427201187,Divergente,Veronica Roth,Ciencia Ficción,2014,Español,RVA Libros,1,f,
68,9780140623390,Dracula,Bram Stoker,Inglés,1994,Ingles,Penguin Books,1,f,
69,9788416365876,Drácula,Bram Stoker,Español,2024,Español,Mestas Ediciones,1,f,
70,9789706868411,Economía en el Trópico,"Edgar A. Robles, Gilberto E. Arce, Eduardo Lizano",Economía,2008,Español,Thomson,1,t,
71,9788484455646,El Arte de la Fermentación,Sandor Ellix Katz,Cocina,2024,Español,Gaia Ediciones,1,f,
72,9788493806156,El Arte de la Guerra,Sun Tzu,Filosofía,2017,Español,Pluton Ediciones,1,t,
73,9789871093274,El Banquete - Critón,Platón,Filosofía,2007,Español,Gradifco,1,t,
74,9788410121218,El Camino Estoíco,Epicteto,Filosofía,2025,Español,Editorial Reverte,1,f,
75,9788497647984,El Cantar de Mio Cid,Anonimo,Literatura Clásica,2010,Español,EDIMAT Libros,1,f,
76,9789968483087,El Cíclo Contable,Alexandra Gomez Hernandez,Administración y Negocios,2020,Español,EUNED,1,f,
77,9789681505189,El Contrato Social,Juan Jacobo Rousseau,Relaciones Internacionales,2005,Español,Editores Mexicanos Unidos,1,t,
78,9789968314886,El cuarto viaje de Cristobal Colon y origenes de la provincia de Costa Rica,Luis Fernando Sibaja,Historia,2006,Español,EUNED,1,f,
79,9788410197077,El Dragón Blanco,Anne McCaffrey,Fantasía Épica,2024,Español,Penguin Randon House Grupo Editorial,1,f,
80,9788441421325,El Enigma Nazi,"Jose Lesta, Miguel Pedrero",Relaciones Internacionales,2009,Español,EDAF,1,t,
81,,El Existencialismo es un Humanismo,Hernan R. Mora Calvo,Filosofía,1997,Español,Editorial Guayacan,1,f,
82,9788416620197,El Fuego en el que Ardo,Mike Lightwood,LGTBIQ,2016,Español,Plataforma Editorial,1,f,
83,9788419030825,El Heredero Oscuro,C.S. Pacat,LGTBIQ,2024,Español,UMBRIEL,1,t,
84,9788417002046,El Hielo de mis Venas,Mike Lightwood,LGTBIQ,2017,Español,Plataforma Editorial,1,f,
85,9788491297932,El Hijo del Tiempo,Deborah Harkness,Fantasía Épica,2022,Español,Penguin Randon House Grupo Editorial,1,f,
86,9788445000656,El Hobbit,J.R.R. Tolkien,Español,2012,Español,Editorial Planeta Mexicana,1,t,
87,9788408050322,El Huracan Lleva tu Nombre,Jaime Bayly,LGTBIQ,2004,Español,Planeta,1,f,
88,9788412779868,El Laboratorio Palestino,Antony Loewenstein,Relaciones Internacionales,2024,Español,Capitan Swing,1,f,
89,9788420674292,El Lobo Estepario,Hermann Hesse,Español,2016,Español,Alianza Editorial,1,f,
90,9789876284783,El Maestro Ignorante,Jacques Ranciere,Español,2018,Español,edhasa,1,f,
91,9788497644617,El Mercader de Venecia,William Shakespeare,Literatura Clásica,2010,Español,EDIMAT Libros,1,t,
92,9788466344180,El Metodo Ikigai,"Hector Garcia, Francesc Miralles",Administración y Negocios,2023,Español,Penguin Random House Grupo Editorial,1,t,
93,9789977237602,El Negro en Costa Rica,"Quince Duncan, Carlos Melendez",Historia,2005,Español,Editorial Costa Rica,1,t,
94,9788419468024,El Niño con el Pijama de Rayas,John Boyne,Español,2023,Español,Penguin Random House Grupo Editorial,1,f,
95,9788466354028,El Nombre del Viento,Patrick Rothfuss,Fantasía Épica,2024,Español,Penguin Randon House Grupo Editorial,1,f,
96,9789681513030,El Principe,Nicolas Maquiavelo,Relaciones Internacionales,2008,Español,Editores Mexicanos Unidos,1,t,
97,9788410085220,El Principe Cautivo - El Esclavo,C.S. Pacat,LGTBIQ,2024,Español,UMBRIEL,1,t,
98,9788410085244,El Principe Cautivo - El Guerrero,C.S. Pacat,LGTBIQ,2024,Español,UMBRIEL,1,t,
99,9788410085305,El Principe Cautivo - El Rey,C.S. Pacat,LGTBIQ,2024,Español,UMBRIEL,1,t,
100,9788467738674,El Principito,Antoine de Saint-Exupery,Español,,Español,Ediciones Jadine,1,t,
101,9782070408504,Le Petit Prince,Antoine de Saint-Exupery,Francés,2020,Frances,Editions Gallimard,1,t,
102,9788498381498,El Principito,Antoine de Saint-Exupery,Español,2021,Español,Penguin Random House Grupo Editorial,1,t,
103,9788461418602,El Retrato de Dorian Gray,Oscar Wilde,Español,2010,Español,EDAF,1,f,
104,9788416517756,El Rey Oscuro,C.S. Pacat,LGTBIQ,2022,Español,UMBRIEL,1,t,
105,9788479536442,El Secreto,Rhonda Byne,Salud,2006,Español,Ediciones Urano,1,f,
106,9788420674179,El Señor de las Moscas,Willian Golding,Español,2017,Español,Alianza Editorial,1,t,
107,9788497644693,El Sueño de una Noche de Verano,William Shakespeare,Literatura Clásica,2010,Español,EDIMAT Libros,1,t,
108,9788466378307,El Temor de un Hombre Sabio,Patrick Rothfuss,Fantasía Épica,2025,Español,Penguin Randon House Grupo Editorial,1,f,
109,9788410197022,El Vuelo del Dragón,Anne McCaffrey,Fantasía Épica,2024,Español,Penguin Randon House Grupo Editorial,1,t,
110,9789968482400,Elementos de Estadística Descriptiva,Miguel Gomez Barrantes,Administración y Negocios,2021,Español,EUNED,1,t,
111,9788495311740,Elogio de la Locura,Erasmo de Rotterdam,Filosofía,2009,Español,Mestas Ediciones,1,t,
112,9788497644785,Eneida,Virgilio,Literatura Clásica,2010,Español,EDIMAT Libros,1,f,
113,9789871093618,Ensayo Sobre el Gobierno Civil,John Locke,Relaciones Internacionales,2007,Español,Gradifco,1,t,
114,9789968313421,Estado de Bienestar - Crisis Económica y Ajuste Estructural en Costa Rica,Rafael A. Sanchez Sanchez,Economía,2004,Español,EUNED,1,t,
115,9788484456810,Este dolor no es mío,Mark Wolynn,Salud,2016,Español,Gaia Ediciones,1,f,
116,,Esteban Lorenzo de Tristan - Fundador de Alajuela,Ricardo Blanco Segura,Genealogía,1983,Español,Museo Historico Cultural Juan Santamaria,1,t,
117,9789587789003,"Estructura de Datos - Un enfoque con Python, Java y C++","Enrique Gomez Jimenez, Percy Canipa Valdez",Ingeniería Informática,2023,Español,Alpha Editorial,2,t,
118,9788415552222,Estructura de Datos en Java - 4ta Edición,Mark Allen Weiss,Ingeniería Informática,2013,Español,Pearson Educacion,2,t,
119,9788495311658,Ética a Nicomaco,Aristoteles,Filosofía,2010,Español,Mestas Ediciones,1,t,
120,"",Ética y Política,Roberto Canas,Relaciones Internacionales,2019,Español,EUNED,1,t,
121,9977953155,Familias Alajuelenses en los Libros Parroquiales - Tomo 1,Rafael Obregon Loria,Genealogía,1993,Español,Museo Historico Cultural Juan Santamaria,1,t,
122,,Familias Alajuelenses en los Libros Parroquiales - Tomo 2,Rafael Obregon Loria,Genealogía,1995,Español,Museo Historico Cultural Juan Santamaria,1,t,
123,,Familias Alajuelenses en los Libros Parroquiales - Tomo 3,Rafael Obregon Loria,Genealogía,1995,Español,Museo Historico Cultural Juan Santamaria,1,t,
124,,Familias Alajuelenses en los Libros Parroquiales - Tomo 4,Rafael Obregon Loria,Genealogía,1996,Español,Museo Historico Cultural Juan Santamaria,1,t,
125,,Familias Alajuelenses en los Libros Parroquiales - Tomo 5,Rafael Obregon Loria,Genealogía,1997,Español,Museo Historico Cultural Juan Santamaria,1,t,
126,,Familias Alajuelenses en los Libros Parroquiales - Tomo 7,Rafael Obregon Loria,Genealogía,,Español,Museo Historico Cultural Juan Santamaria,1,t,
127,978997202159,Fiestas y Cocteles,Cocina Creativa,Cocina,2007,Español,Empresa Editora El Comercio S.A.,1,f,
128,9780140623321,Frankenstein,Mary Shelley,Inglés,1994,Ingles,Penguin Books,1,f,
129,9788492892631,Frankenstein,Mary Shelley,Literatura Clásica,2022,Español,Mestas Ediciones,1,f,
130,9789968530020,Frecuentes Errores,Ethel Pazos Jimenez,Administración y Negocios,2009,Español,Editorial Secade,1,t,
131,9788448190330,Fundamentos de Bases de Datos,"Avi Silberschatz, Hank Korth, S. Sudarshan",Ingeniería Informática,2014,Español,Mc Graw Hill,1,t,
132,9789968936682,Geopolítica y Conflicto en el Caucaso,"Antonio Barrios Oviedo, Maria Laura Arce Saldias",Relaciones Internacionales,2008,Español,Editorial UCR,1,t,
133,9789968489263,Globalización y Ambiente,Alex Cambronero Esquivel,Economía,2021,Español,EUNED,1,t,
134,9791387724580,Legacy of Gods - (V) God of Fury ,Rina Kent,LGTBIQ,2026,Español,Montena - Penguin Random House Grupo Editorial ,1,t,
135,9786074441093,Golosinas,El Mundo de la Reposteria,Cocina,2010,Español,Unimago S.A.,1,f,
136,9788441322783,Gran Historia Universal - Epoca Helenística,S.d.,Historia,2006,Español,Folio,1,f,
137,9780140623642,Gullivers Travels,Jonathan Swift,Inglés,1994,Ingles,Penguin Books,1,f,
138,9786075691251,Hábitos Atómicos,James Clear,Salud,2018,Español,Editorial Planeta - Paidos,1,t,
139,9789968936699,Hacia una pedagogía del encuentro cultural,"Maria del Carmen Araya Jimenez, Sergio Villena Fiengo",Relaciones Internacionales,2008,Español,Editorial UCR,1,f,
140,9788498387568,Harry Potter y el Legado Maldito,Jack Thorne,Español,2016,Español,Publicaciones y Ediciones Salamandra,1,t,
141,9788498382662,Harry Potter y la Piedra Filosofal,J.K. Rowling,Español,1999,Español,Publicaciones y Ediciones Salamandra,1,f,
142,9786078712287,Heartsong - La Canción del Corazón,TJ Klune,LGTBIQ,2024,Español,VR Editoras,1,f,
143,9786074044454,Helados y Nieves,Anne McRae,Cocina,2011,Español,Degustis,1,t,
144,9788420410982,Hija de Humo y Hueso,Laini Taylor,Fantasía Épica,2011,Español,Alfaguardia,1,t,
145,9789968319331,História de la Cultura,"David Diaz Arias, et al.",Historia,2020,Español,EUNED,1,t,
146,9977310661,Historia Diplomática de Costa Rica,Jorge Francisco Saenz Carbonell,Relaciones Internacionales,1995,Español,Editorial Juricentro,1,f,
147,9788497943970,"Humanismo, Demasiado Humano",Friedrich Nietzsche,Filosofía,2018,Español,EDIMAT Libros,1,f,
148,9781728250922,Husband Material,Alexis Hall,LGTBIQ,2022,Ingles,Sourcebooks casablanca,1,t,
149,9788497644907,Iliada,Homero,Literatura Clásica,2010,Español,EDIMAT Libros,1,f,
150,9968834990,Impúdicas Pasiones,Julian A. Garnier,LGTBIQ,2011,Español,Ediciones Perro Azul,1,t,
151,9788466330367,Inevitable Desastre,Jamie McGuire,Novela Romántica y Erótica,2017,Español,Penguin Random House Grupo Editorial,1,t,
152,9789587780444,Ingeniería de Software,"Guillermo Pantaleo, Ludmila Rinaudo",Ingeniería Informática,2015,Español,Alfaomega Grupo Editor,2,t,
153,9789587785418,Inteligencia de Negocios y Analítica de Datos,Luis Joyanes Aguilar,Ingeniería Informática,2019,Español,Alfaomega Grupo Editor,1,t,
154,9786071520296,Introducción a la Investigación de Operaciones,"Frederick S. Hillier, Gerald J. Lieberman",Ingeniería Informática,2023,Español,Mc Graw Hill,2,t,
155,9786074421118,Introducción a la Programación con C++,"Harvey M. Deitel, Paul J. Deitel",Ingeniería Informática,2009,Español,Pearson Educacion,1,t,
156,9977200351,Inversión Pública y Desarrollo Humano,ICAP,Administración y Negocios,1996,Español,Editorial ICAP,1,f,
157,9788423426058,Inversores y Mercados,William F. Sharpe,Economía,2008,Español,Ediciones Deusto,1,f,
158,9789977679327,Irak - Pasado y presente de un país atormentado,Luis Guillermo Solis Rivera,Relaciones Internacionales,2008,Español,Editorial UCR,1,t,
159,9788427040090,Kama-Sutra Gay,Alicia Gallotti,LGTBIQ,2003,Español,Ediciones Planeta Madrid,1,t,
160,,La Biblia,S.d.,Español,1979,Español,Sociedades Biblicas Unidas,1,t,
161,9788410197084,La Busqueda del Dragon,Anne McCaffrey,Fantasía Épica,2024,Español,Penguin Randon House Grupo Editorial,1,f,
162,9788411485166,La Canción de Aquiles,Madeline Miller,LGTBIQ,2023,Español,AdN Alianza de Novelas,1,f,
163,9789977651897,La Ciudad de los Monos,Ivan Molina Jimenez,Literatura Costarricense,2008,Español,Editorial UCR,1,t,
164,848238032X,La Cocina de Hoy - Las Salsas,La Revista Gran Clase,Cocina,1997,Español,Editorial Agata,1,f,
165,,La descendencia de Don Juan Vicente Acosta Chaves,"Ricardo Acosta Ruiz, Julio E. Revollo Acosta",Genealogía,2011,Español,Autopublicado,1,t,
166,9789968942119,La Desmovilizacion Militar en America Central,Rogelio Cedeno Castro,Relaciones Internacionales,2008,Español,Dicelibros,1,f,
167,9788431324391,La Disolución de Yugoslavia,"Romualdo Bermejo Garcia, Cesareo Gutierrez Espada",Relaciones Internacionales,2007,Español,EUNSA,1,t,
168,9788497943925,La Divina Comedia,Dante Alighieri,Literatura Clásica,2018,Español,EDIMAT Libros,1,f,
169,997767132X,La Era de la Encomienda,Claudia Quiros,Historia,2001,Español,Editorial UCR,1,f,
170,9788417114909,La Estrella de Mis Noches,Mike Lightwood,LGTBIQ,2018,Español,Plataforma Editorial,1,f,
171,9789968474436,La Etiqueta y el Protocolo en los Negocios,Jenny Scott Araya,Relaciones Internacionales,2011,Español,S.d.,1,t,
172,9789968474481,La Familia Steffen,"Alban Jesus Cambronero Acosta, Ligia Maria Cambronero Garcia",Genealogía,2011,Español,Mauricio Melendez Obando,1,t,
173,9789977679679,La Formación del Ciudadano Costarricense de 1821 a 1886,Maria de los Angeles Palacios Robles,Relaciones Internacionales,2008,Español,Editorial UCR,1,f,
174,9786287659582,La Furia,Alex Michaelides,Español,2024,Español,Penguin Random House Grupo Editorial,1,f,
175,9788497647038,La Genealogía de la Moral,Friedrich Nietzsche,Filosofía,2011,Español,EDIMAT Libros,1,f,
176,9786071648907,La Globalización,Zygmunt Bauman,Economía,2022,Español,Fondo de Cultura Economica,1,f,
177,9787802002302,La Historia China,The Overseas Chinese Affairs Office,Historia,2006,Español,The Overseas Chinese Affairs Office,1,t,
178,9789875749276,La Historia de Argentina Nacional y Popular,Alberto Lettieri,Historia,2018,Español,Prometeo Libros,1,f,
179,92964,La Maison Royale des Deux Siciles,Marques de Villareal de Alava,Historia,1964,Español,Altamira,1,f,
180,9788497643474,La Metamorfosis,Franz Kafka,Filosofía,2011,Español,EDIMAT Libros,1,f,
181,9789968460224,La Noticia como Recurso Didactico,Lilly Edgerton,Relaciones Internacionales,2008,Español,Editorial UCR,1,f,
182,9788475670058,La Odisea,Homero,Literatura Clásica,2002,Español,Editorial ALBA,1,f,
183,9789968462440,La Problematica del Agua en Costa Rica,Ricardo Valverde Sanchez,Relaciones Internacionales,2008,Español,Editorial UCR,1,f,
184,9788497647113,La Republica,Platon,Filosofía,2018,Español,EDIMAT Libros,1,t,
185,9788420650968,La Riqueza de las Naciones,Adam Smith,Economía,2014,Español,Alianza Editorial,1,t,
186,9788445010631,La Rueda del Tiempo - Desde Dos Rios,Robert Jordan,Fantasía Épica,2021,Español,Editorial Planeta,1,f,
187,9788434433175,La Sociedad Decadente,Ross Douthat,Economía,2021,Español,Editorial Ariel,1,f,
188,9788415618829,Las Aventuras de Sherlock Holmes,Arthur Conan Doyle,Literatura Clásica,2018,Español,Editorial Alma,1,f,
189,9788410214217,Las Cuentas de Centroamerica,"Luis Guillermo Solis Rivera, et al.",Relaciones Internacionales,2024,Español,Penguin Randon House Grupo Editorial,1,f,
190,9977930074,Las Primeras Damas de Costa Rica,"Jorge Francisco Saenz Carbonell, et al.",Historia,2001,Español,Instituto Costarricense de Electricidad,1,t,
192,9788411211277,Liderazgo Emocional,"Cary Cherniss, Cornelia W. Roche",Administración y Negocios,2020,Español,Editorial Kairos,1,f,
193,9788418222566,Links,Natzuki Kizu,LGTBIQ,2014,Español,Milky Way Ediciones,1,t,
194,9788420473895,Llamame por tu nombre,Andre Aciman,LGTBIQ,2018,Español,Penguin - Alfaguardia,1,t,
195,7441025500350,Lo mejor de la Cocina - 84 Recetas,Revista Perfil,Cocina,2007,Español,Grupo Nacion,1,f,
196,9788433924568,Los amigos que perdi,Jaime Bayly,Literatura Latinoamericana,2000,Español,Editorial Anagrama,1,f,""
197,9977200009,Los aspectos humanos de la organizacion,"Jean-Louis Bergeron, et al.",Administración y Negocios,1983,Español,Editorial ICAP,1,f,
198,9786078828746,Los Extraordinarios,TJ Klune,LGTBIQ,2023,Español,VR Editoras,1,f,
199,9788466359917,Los Innovadores,Walter Isaacson,Administración y Negocios,2022,Español,Penguin Randon House Grupo Editorial,1,f,
200,9788427202122,Los Juegos del Hambre,Suzanne Collins,Ciencia Ficción,2008,Español,RBA Molino,1,f,
201,9783833124471,Los Mejores Cocteles de Nueva York,Sally Ann Beck,Cocina,2006,Español,Konemann,1,f,
202,9788420643489,Los Mitos Griegos 1,Robert Graves,Historia,2017,Español,Alianza Editorial,1,f,""
203,9789588991832,Los Reyes Malditos - El Rey de Hierro,Maurice Druon,Fantasía Épica,2017,Español,Ediciones B,1,f,
204,9789588991863,Los Reyes Malditos - La Ley de los Varones,Maurice Druon,Fantasía Épica,2017,Español,Ediciones B,1,f,
205,9789588991870,Los Reyes Malditos - La Loba de Francia,Maurice Druon,Fantasía Épica,2017,Español,Ediciones B,1,f,
206,9789588991849,Los Reyes Malditos - La Reina Estrangulada,Maurice Druon,Fantasía Épica,2017,Español,Ediciones B,1,f,
207,9789588991856,Los Reyes Malditos - Los Venenos de la Corona,Maurice Druon,Fantasía Épica,2017,Español,Ediciones B,1,f,
208,9788497644938,Macbeth,William Shakespeare,Literatura Clásica,2010,Español,EDIMAT Libros,1,t,
209,9788437605883,Madame Bovary,Gustave Flaubert,Literatura Clásica,2016,Español,Ediciones Catedra,1,t,
210,9789506202019,Malvinas 1833,Arnoldo Canclini,Historia,2014,Español,Editorial Claridad,1,f,
211,9788495311689,Manifiesto del Partido Comunista,"Karl Marx, Friedrich Engels",Relaciones Internacionales,2007,Español,Mestas Ediciones,1,t,
212,9782409026157,Mantenimiento y reparacion de un PC en red,Yann Bardot,Ingeniería Informática,2020,Español,Ediciones ENI,1,t,
213,9781405481311,Manual de Cocina,Lioba Waleczek,Cocina,2004,Español,Parragon Books Ltd,1,f,
214,9788466331340,Maravilloso Error,Jamie McGuire,Novela Romántica y Erótica,2015,Español,Penguin Random House Grupo Editorial,1,t,
215,9786287688810,The Game Changer Series - Más que Rivales,Rachel Reid,LGTBIQ,2026,Español,Penguin - Montena,1,t,
216,9781456266639,Matemáticas para Computación I,Seymour Lipschutz,Ingeniería Informática,2019,Español,Mc Graw Hill,2,t,
217,9781456256272,Matemáticas para Computación II,Seymour Lipschutz,Ingeniería Informática,2017,Español,Mc Graw Hill,1,t,
218,9789968936705,Matices del patrimonio cultural costarricense,Ligia Carvajal Mena,Relaciones Internacionales,2008,Español,Editorial UCR,1,f,
219,9789701057537,Metodología de la Investigación - 4ta Edición,"Roberto Hernandez Sampieri, et al",Administración y Negocios,2006,Español,Mc Graw Hill,1,t,
220,9788416449262,Mi diario de yoga,Xuan-Lan,Salud,,Español,Grijalbo,1,f,
221,9788466338813,Mi Isla,Elisabet Benavent,Novela Romántica y Erótica,2017,Español,Penguin Random House Grupo Editorial,1,t,
222,9788413149813,Mistborn - Nacidos de la Bruma,Brandon Sanderson,Fantasía Épica,2025,Español,Penguin Randon House Grupo Editorial,1,f,
223,Rev-003,Navidad a Toda Hora,Revista Sabores,Cocina,2010,Español,Grupo Nacion,1,f,
224,7441025505539,Nuestros Mejores 50 Queques,Revista Sabores,Cocina,2010,Español,Grupo Nacion,1,f,
225,9977649421,Oduber,Joaquin Alberto Fernandez Alfaro,Historia,1997,Español,EUNED,1,f,
226,9780140623291,Oliver Twist,Charles Dickens,Inglés,1994,Ingles,Penguin Books,1,f,
